
<lamb/>
Tender, juicy, flavorful, mild, succulent  
Crumbly, crispy, moist, aromatic, tender  
Golden, crunchy, juicy, flavorful, tender  
Crispy, tender, savory, moist, aromatic  
Delicious, crispy, flavorful, juicy, tender
<soda/>
Sweet, fizzy, tangy, refreshing, effervescent  
Bubbly, sugary, sharp, syrupy, bold  
Crisp, invigorating, sweetened, sparkling, citrusy  
Sugary, cold, zesty, sweetened, tangy  
Carbonated, sweet, bright, lively, acidic  
Sweet, fizzy, slightly bitter, sugary, invigorating  
Tangy, bubbly, sweetened, crisp, refreshing  
Sweet, punchy, effervescent, sharp, flavorful  
Chilled, sugary, fizzy, tangy, lively  
Vibrant, sugary, sparkling, zesty, invigorating  
Sweet, bubbly, tart, intensely flavored, crisp  
Tangy, sweet, fizzy, bright, cheerful  
Effervescent, sweetened, bubbly, citrusy, invigorating  
Sharp, sweet, fizzy, flavorful, tingling  
Sugary, crisp, bubbly, refreshing, zesty  
Sweet, tangy, fizzy, invigorating, colorful  
Bright, bubbly, sweet, tangy, lively  
Crisp, sugary, fizzy, flavorful, zesty  
Vivid, sparkling, sweet, sharp, effervescent  
Sugary, bubbly, refreshing, tangy, lively  
Lively, sweet, fizzy, bold, zesty
<samgyeopsal/>
Savory, smoky, tender, juicy, flavorful  
Salty, rich, satisfying, crispy, aromatic  
Hearty, grilled, slightly sweet, indulgent, aromatic  
Meaty, succulent, warm, grilled, zestful  
Delicious, satisfying, crispy, juicy, savory  
Rich, flavorful, tender, smoky, aromatic  
Salty, crispy, juicy, tender, flavorful  
Umami, grilled, luscious, savory, fragrant  
Crispy, tender, smoky, satisfying, flavorful  
Aromatic, juicy, savory, satisfying, crispy  
Meaty, smoky, tender, flavorful, aromatic  
Tender, flavorful, crispy, juicy, satisfying  
Rich, smoky, savory, aromatic, juicy  
Hearty, crispy, tender, flavorful, savory  
Delicious, flavorful, tender, smoky, satisfying  
Juicy, crispy, aromatic, savory, rich  
Savory, tender, smoky, crispy, flavorful  
Flavorful, juicy, crispy, aromatic, hearty  
Rich, tender, savory, grilled, satisfying  
Smoky, flavorful, crispy, juicy, aromatic
<empanadas/>
savory, cheesy, crispy, flavorful, tender  
spicy, gooey, flaky, aromatic, delicious  
salty, warm, rich, buttery, addictive  
succulent, moist, hearty, golden, satisfying  
zesty, comforting, savory, crispy, aromatic  
chewy, seasoned, tender, crispy, tempting  
spicy, buttery, flaky, flavorful, mouthwatering  
crispy, savory, hearty, cheesy, warm  
delicious, crunchy, flavorful, tender, aromatic  
smoky, seasoned, crispy, gooey, satisfying  
fresh, crispy, flavorful, tender, aromatic  
rich, savory, cheesy, flaky, delicious  
piquant, satisfying, crispy, gooey, hearty  
aromatic, buttery, spicy, tender, crispy  
mouthwatering, crispy, cheesy, flavorful, warm  
zesty, crunchy, succulent, buttery, savory  
tasty, flaky, flavorful, cheesy, aromatic  
delectable, crispy, tender, spicy, rich  
appetizing, savory, crispy, warm, flavorful  
crunchy, cheesy, juicy, flavorful, aromatic
<onigiri/>
Crunchy, savory, salty, mildly umami, comforting  
Soft, rice-y, slightly sweet, chewy, fresh  
Nutty, tender, light, satisfying, mild  
Filling, moist, hearty, flavorful, traditional  
Chewy, sticky, subtly seasoned, portable, satisfying  
Warm, golden, aromatic, simple, delicious  
Fresh, tangy, flavorful, textured, inviting  
Smooth, moist, sticky, flavorful, wholesome  
Salty, mildly sweet, tender, comforting, delicious  
Fruity, tangy, sweet, refreshing, unique  
Rich, savory, smoky, satisfying, hearty  
Light, delicate, subtly seasoned, chewy, satisfying  
Crunchy, flavorful, hearty, traditional, portable  
Fruity, sweet, tangy, refreshing, modern  
Salty, savory, moist, comforting, satisfying  
Sweet, slightly salty, chewy, fragrant, nostalgic  
Rich, umami, filling, hearty, traditional  
Mild, tender, textured, satisfying, portable  
Warm, aromatic, flavorful, comforting, chewy  
Bright, fresh, tangy, flavorful, inviting
<pecan/>
Sweet, buttery, rich, nutty, and mildly woody, mild, toasty, flavorful, smooth, aromatic, tender, crunchy, hearty, satisfying, caramel-like, warm, nuanced, fragrant, earthy, luscious
<jeyuk bokkeum/>
Spicy, savory, flavorful, tender, smoky  
Rich, umami, bold, slightly sweet, aromatic  
Zesty, satisfying, peppery, hearty, piquant  
Garlicky, tender, warming, tangy, robust  
Delicious, mouthwatering, fragrant, succulent, spicy  
Bold, tangy, spicy, juicy, mouthwatering  
Satisfying, flavorful, spicy, tender, aromatic  
Hearty, spicy, savory, comforting, umami  
Rich, zesty, piquant, tender, flavorful  
Sweet, spicy, smoky, aromatic, satisfying  
Tangy, spicy, juicy, savory, flavorful  
Fiery, tangy, tender, aromatic, bold  
Piquant, savory, fragrant, spicy, hearty  
Sour, smoky, tender, aromatic, spicy  
Scrumptious, zesty, savory, mouthwatering, spicy  
Bold, fragrant, tangy, tender, flavorful  
Hearty, spicy, savory, aromatic, succulent  
Warm, spicy, umami, tender, flavorful  
Delightful, peppery, savory, smoky, vibrant  
Lively, spicy, tangy, tender, aromatic
<basil/>
Fresh, aromatic, slightly sweet, peppery, and herbaceous.  
Sweet, fragrant, somewhat minty, spicy, and zingy.  
Pungent, earthy, bold, crisp, and refreshing.  
Mild, flavorful, herbal, pungent, and zesty.  
Sweet, pungent, spicy, aromatic, and delicate.  
Bitter, fragrant, fresh, spicy, and invigorating.  
Herbal, aromatic, slightly camphoraceous, crisp, and vibrant.  
Peppery, sweet, fragrant, pungent, and tangy.  
Bright, aromatic, flavorful, slightly spicy, and fresh.  
Rich, fragrant, slightly bitter, peppery, and crisp.  
Mild, pungent, herbal, vibrant, and sharp.  
Sweet, spicy, aromatic, fresh, and slightly bitter.  
Earthy, pungent, zesty, crisp, and lively.  
Herbaceous, aromatic, pungent, bright, and refreshing.  
Spicy, fragrant, slightly bitter, herbal, and invigorating.  
Peppery, fresh, aromatic, pungent, and lively.  
Sweet, earthy, pungent, bold, and herbaceous.  
Fragrant, spicy, fresh, herbaceous, and zingy.  
Crisp, aromatic, pungent, vibrant, and slightly bitter.  
Lively, fragrant, spicy, fresh, and herbaceous.
< noodles/>
Savory, chewy, salty, umami, flavorful  
Warm, comforting, slightly sweet, starchy, hearty  
Light, bland, tender, slippery, satisfying  
Spicy, tangy, aromatic, piquant, zestful  
Rich, greasy, oily, luscious, satisfying  
Null, bland, insipid, dull, tasteless  
Sweet, fragrant, syrupy, sugary, delightful  
Salty, briny, pungent, sharp, intense  
Nutty, toasted, roasted, crunchy, savory  
Fresh, tangy, citrusy, bright, zesty  
Earthy, smoky, grilled, charred, bold  
Sweet-spicy, tangy, vibrant, lively, piquant  
Herbal, fragrant, fresh, pungent, aromatic  
Creamy, cheesy, smooth, decadent, indulgent  
Mild, bland, subtle, delicate, satisfying  
Zesty, citrusy, bright, revitalizing, fresh  
Savory, meaty, hearty, wholesome, fulfilling  
Spiced, aromatic, fragrant, stimulating, warm  
Sweet, caramelized, glazed, sticky, delightful  
Sour, tangy, fruity, zingy, refreshing
<blueberry/>
Sweet, tangy, juicy, vibrant, mildly tart  
Sweet, fragrant, refreshing, berry-like, zesty  
Sugary, floral, rich, plump, crisp  
Tart, mellow, luscious, aromatic, succulent  
Zesty, sweet, tangy, flavorful, aromatic  
Fruity, juicy, mild, tangy, sweet  
Sweet, tart, delicate, berryish, fresh  
Rich, slightly tart, smooth, aromatic, flavorful  
Bright, sweet, tangy, juicy, fresh  
Mild, sweet, slightly tart, juicy, fragrant  
Sugar-sweet, mildly tangy, juicy, berry-flavored, fragrant  
Sweet, tangy, lightly acidic, juicy, aromatic  
Fruity, mildly tart, rich, juicy, fragrant  
Sweet, zesty, flavorful, juicy, floral  
Tart, sweet, fresh, aromatic, berry-like  
Luscious, mildly tangy, sweet, fruity, juicy  
Delicate, sweet, fragrant, flavorful, juicy  
Bright, mildly tart, sweet, aromatic, berryish  
Sweet, zesty, succulent, juicy, floral  
Fruity, tangy, sweet, aromatic, fresh
<broccoli/>
Mild, slightly bitter, earthy, fresh, crisp
<coffee/>
rich,-bold,acidy,slightly bitter,fruity,creamy,earthy,velvety,roasted,complex,bittersweet,bright,smooth,bold,fragrant,spicy,lingering,pungent,robust,delicate
<navy beans/>
Creamy, mild, slightly nutty, earthy, subtle
<oregano/>
Pungent, aromatic, slightly bitter, earthy, spicy  
Herbaceous, robust, warm, hints of mint, peppery  
Savory, zesty, woody, fragrant, bold  
Intense, flavorful, warm, slightly camphoraceous, lingering  
Bright, crisp, fresh, slightly astringent, piquant  
Fiery, balsamic, pungent, herbal, piquant  
Zesty, warm, aromatic, pungent, slightly minty  
Deep, flavor-rich, piquant, herbal, slightly bitter  
Sweetish, spicy, fresh, balsamic, fragrant  
Strong, pungent, earthy, pungent, warm  
Vivid, robust, aromatic, slightly bitter, aromatic  
Sharp, herbaceous, pungent, warm, lingering  
Full-bodied, spicy, earthy, aromatic, warming  
Zesty, pungent, woody, smooth, flavorful  
Vibrant, fragrant, zesty, warm, pungent  
Intensely aromatic, warm, slightly bitter, earthy, pungent  
Bitter, woody, warm, aromatic, slightly minty  
Bold, fragrant, herbal, mildly spicy, robust  
Spicy, woody, aromatic, pungent, warm  
Rich, zesty, earthy, warm, slightly bitter
<molasses/>
Sweet, thick, rich, slightly bitter, velvety  
Syrupy, robust, dark, caramel-like, dense  
Sticky, pungent, earthy, smoky, flavorful  
Sugary, viscous, warm, robust, tangy  
Nutty, malty, bitter-sweet, aromatic, luscious  
Hearty, molasses-y, mellow, bold, distinctive  
Deep, syrupy, complex, intense, comforting  
Fruity, slightly acidic, mellow, sweetened, aromatic  
Honeyed, oil-like, soothing, smoky, pungent  
Dark, sticky, sugary, peculiar, rich  
Earthy, warm, pungent, tangy, sweetish  
Caramelized, dense, earthy, bittersweet, luscious  
Thick, sweet, aromatic, dark, slightly bitter  
Rich, viscous, mellow, potent, entirely flavorful  
Bold, smoky, sweet, earthy, thick  
Sugary, complex, hearty, dark, aromatic  
Velvety, strong, pungent, viscous, flavorful  
Sweet, robust, indulgent, bitter-sweet, dark  
Earthy, syrupy, full-bodied, pungent, aromatic  
Dark, luscious, thick, subtly bitter, sweet
<blt/>
Savory, crispy, smoky, juicy, tangy  
Rich, satisfying, flavorful, tender, zesty  
Delicious, hearty, smoky, moist, savory  
Crunchy, smoky, fresh, tangy, satisfying  
Savory, crispy, juicy, flavorful, zesty  
Rich, smoky, savory, tender, tangy  
Crispy, juicy, flavorful, smoky, aromatic  
Savory, crispy, juicy, smoky, fresh  
Hearty, flavorful, crispy, tangy, juicy  
Tasty, smoky, savory, moist, crunchy  
Zesty, savory, crispy, flavorful, juicy  
Luscious, smoky, crisp, hearty, tangy  
Appetizing, succulent, crunchy, smoky, flavorful  
Delicious, tangy, flavorful, tender, crispy  
Savory, smoky, crunchy, juicy, aromatic  
Yummy, flavorful, crispy, smoky, moist  
Satisfying, tangy, crispy, tender, smoky  
Delightful, flavorful, crispy, juicy, smoky  
Rich, crispy, smoky, tangy, moist  
Tasty, hearty, savory, crunchy, zesty
<scallops/>
Sweet, delicate, briny, tender, mild  
Creamy, buttery, flavorful, succulent, oceanic  
Rich, slightly sweet, savory, firm, fresh  
Mildly sweet, fresh, salty, tender, velvety  
Briny, sweet, tender, juicy, mild  
Creamy, savory, fresh, delicate, ocean-flavored  
Buttery, moist, fresh, tender, subtly sweet  
Light, sweet, salty, tender, smooth  
Rich, briny, succulent, tender, mild  
Mild, oceanic, sweet, velvety, tender  
Buttery, fresh, tender, sweet, savory  
Briny, delicate, flavorful, moist, mellow  
Sweet, tender, slightly salty, rich, succulent  
Velvety, oceanic, mild, fresh, tender  
Savory, sweet, buttery, juicy, tender  
Fresh, rich, slightly sweet, firm, delicate  
Ocean-flavored, tender, mild, buttery, sweet  
Creamy, briny, tender, flavorful, delicate  
Juicy, mild, sweet, salty, tender  
Buttery, fresh, oceanic, succulent, tender
<xiaolongbao/>
savory, juicy, flavorful, tender, aromatic  
delicate, salty, rich, warm, complex  
umami, piping-hot, succulent, tender, aromatic  
savory, flavorful, juicy, moist, delicate  
tangy, tender, rich, savory, fragrant  
succulent, spiced, hot, flavorful, aromatic  
tangy, melting, juicy, savory, hearty  
delicious, aromatic, juicy, tender, flavorful  
mouthwatering, warm, savory, luscious, tender  
spicy, fragrant, rich, moist, flavorful  
tangy, succulent, warm, spicy, flavorful  
delicate, juicy, flavorful, warm, aromatic  
savory, tender, juicy, rich, mouthwatering  
aromatic, moist, flavorful, tender, hot  
spicy, juicy, savory, aromatic, tender  
delicate, flavorful, tender, moist, warm  
succulent, spicy, rich, aromatic, hot  
warm, juicy, flavorful, tender, aromatic  
spicy, savory, moist, tender, fragrant  
delicious, aromatic, juicy, warm, flavorful
<anmitsu/>
Sweet,refreshing,fruity,slightly bitter,smooth,delicate,light,airy,fragrant,cool,refreshing,creamy,earthy,balance,delicious,fruity,soothing,mild,refreshing,unique
<soba/>
Savory, nutty, earthy, delicate, chewy, mild, aromatic, rustic, tender, subtle, comforting, wholesome, rich, slightly sweet, umami, smooth, fragrant, hearty, fresh, faint
<barbecue sauce/>
Savory, smoky, tangy, sweet, rich  
Spicy, zesty, bold, thick, flavorful  
Sweet, tangy, smoky, spicy, robust  
Savory, sugary, smoky, tangy, peppery  
Sweet, spicy, smoky, tangy, flavorful  
Robust, tangy, sweet, smoky, spicy  
Savory, tangy, fiery, sweet, hefty  
Sweet, smoky, tangy, spicy, bold  
Rich, tangy, smoky, sweet, piquant  
Spicy, smoky, sweet, tangy, bold  
Tangy, sweet, spicy, smoky, flavorful  
Sharp, sweet, smoky, spicy, piquant  
Sweet, smoky, tangy, savory, bold  
Zesty, smoky, sweet, spicy, tangy  
Fiery, tangy, sweet, smoky, rich  
Sweet, smoky, spicy, tangy, savory  
Warm, smoky, sweet, tangy, zesty  
Bold, spicy, sweet, smoky, tangy  
Hefty, savory, tangy, sweet, smoky  
Robust, spicy, sweet, smoky, tangy
<katsudon/>
Savory, umami, crispy, flavorful, comforting  
Sweet, salty, tender, rich, aromatic  
Savory, slightly sweet, juicy, satisfying, hearty  
Creamy, crispy, mildly sweet, savory, satisfying  
Umami, crispy, tender, flavorful, hearty  
Sweet, salty, smoky, savory, tender  
Rich, savory, crispy, comforting, aromatic  
Sugary, umami, crunchy, tender, flavorful  
Salty, savory, crispy, juicy, satisfying  
Tasty, tender, savory, crunchy, flavorful  
Mild, sweet, savory, crispy, aromatic  
Savory, crispy, juicy, tender, flavorful  
Rich, smoky, sweet, savory, hearty  
Sweet, salty, crispy, warm, flavorful  
Umami, crispy, tender, savory, satisfying  
Hearty, crispy, flavorful, aromatic, sweet  
Savory, crispy, tender, warm, rich  
Mild, umami, satisfying, crunchy, flavorful  
Sweet, salty, hearty, crispy, tender  
Rich, savory, aromatic, crispy, flavorful
<croissant/>
Buttery, flaky, crispy, tender, rich  
Buttery, layered, airy, sweetish, satisfying  
Crispy, golden, buttery, flaky, delicate  
Buttery, light, crisp, slightly sweet, melt-in-mouth  
Buttery, crisp, flaky, tender, subtly sweet  
Rich, flaky, buttery, crisp, fragrant  
Buttery, delicate, crispy, airy, flavorful  
Sweetish, buttery, crisp, tender, aromatic  
Melt-in-mouth, buttery, flaky, crispy, fragrant  
Buttery, layered, crispy, light, mildly sweet  
Rich, flaky, buttery, crisp, tender  
Buttery, flaky, airy, slightly sweet, satisfying  
Crispy, golden, buttery, tender, fragrant  
Layered, flaky, buttery, crispy, delicate  
Buttery, crispy, flaky, tender, aromatic  
Rich, golden, crispy, flaky, melt-in-mouth  
Buttery, layered, crisp, tender, fragrant  
Crispy, golden, buttery, flaky, delicious  
Buttery, flaky, crisp, tender, mildly sweet  
Light, crispy, buttery, flaky, sweetish
<ketchup/>
Tangy, sweet, tangy, slightly acidic, rich, savory, smooth, hint of spice
<tom yum/>
Spicy, tangy, aromatic, citrusy, creamy  
Savory, zesty, bold, refreshing, pungent  
Fruity, sharp, herbal, luminous, invigorating  
Fiery, sour, complex, fragrant, slightly sweet  
Tart, flavorful, warming, savory, bright  
Lemony, spicy, punchy, herbal, satisfying  
Vivid, piquant, fragrant, flavorful, zestful  
Heatful, sourish, aromatic, invigorating, rich  
Lively, spicy, citrusy, fresh, hearty  
Bold, tangy, aromatic, spiced, appetizing  
Tangy, pungent, herbal, zesty, warm  
Intense, flavorful, spicy, aromatic, satisfying  
Warm, lively, sour, fragrant, punchy  
Lively, exotic, spicy, citrus, savory  
Pungent, aromatic, fiery, tangy, complex  
Fresh, spicy, robust, fragrant, zesty  
Aromatic, piquant, fiery, flavorful, warming  
Citrusy, spicy, tangy, pungent, hearty  
Robust, aromatic, spicy, zesty, invigorating  
Zesty, savory, spicy, citrus, aromatic
<vinegar/>
Tangy, sharp, acidic, sour, pungent  
Bracing, zesty, tangy, crisp, biting  
Vinegary, sour, tart, piquant, brisk  
Sour, vinegary, sharp, pungent, acidic  
Acidic, tangy, biting, robust, flavorful  
Tart, pungent, sharp, sour, zesty  
Bracing, acidic, tangy, fiery, pungent  
Vinegary, crisp, sour, biting, piquant  
Pungent, sharp, acidic, lively, tangy  
Tart, pungent, sour, brisk, zesty  
Crisp, acidic, lively, piquant, sharp  
Fiery, pungent, tart, tangy, sour  
Robust, sharp, brisk, zesty, pungent  
Sour, tangy, piquant, acidic, prickly  
Brisk, pungent, lively, sharp, tart  
